,property_name,society,bedRoom,bathroom,balcony,additionalRoom,facing,agePossession,sector,price in crore,SuperBuildUp_adjusted_area,adjusted_price_per_sqft,Others,Pooja Room,Servant Room,Store Room,Study Room,unavailable,floor,furnish_score,furnish_category,features_score,features_category,rating_sum,bed_bath_ratio,log_area,society_clean,additional_room_count,log_price
2253,3 BHK Flat,Adarsh nagar,3,3,1,unavailable,North-West,newly built,Adarsh Nagar,0.65,1500.0,4333.333333333333,0,0,0,0,0,1,1,48.0,Fancy,11.5,Basic,0.0,1.0,7.313886831633462,adarsh nagar,0,0.5007752879124893
2254,2 BHK Flat,g l s arawali homes,2,2,2,unavailable,unavailable,mid-age,Sohna,0.26,633.6,4103.535353535353,0,0,0,0,0,1,1,-1.0,Unavailable,0.0,Minimal,20.0,1.0,6.452994879149095,g l s arawali homes,0,0.23111172096338664
2255,2 BHK Flat,GLS Arawali Homes38 ,2,2,2,unavailable,unavailable,newly built,Sohna,0.35,633.6,5523.989898989898,0,0,0,0,0,1,12,-1.0,Unavailable,13.5,Basic,25.0,1.0,6.452994879149095,gls arawali homes,0,0.3001045924503381
2256,3 BHK Flat,ILD Greens41 ,3,3,3,unavailable,unavailable,newly built,Sector 37C Gurgaon,1.05,2678.571428571429,3920.0,0,0,0,0,0,1,4,28.0,Medium,4.0,Minimal,23.5,1.0,7.893412146005028,ild greens,0,0.7178397931503169
2257,3 BHK Flat,Piedmont Taksila heights36 ,3,3,3,unavailable,South-West,mid-age,Sector 37C Gurgaon,0.9,1690.7,5323.238895132194,0,0,1,0,0,0,9,35.5,Fancy,24.0,Good,23.5,1.0,7.433489219481246,piedmont taksila heights,0,0.6418538861723948
2258,4 BHK Flat,DLF The Arbour,4,4,No,unavailable,unavailable,unknown,Sector 63 Gurgaon,8.5,4345.0,19562.71576524741,0,0,0,0,0,1,27,28.0,Medium,0.0,Minimal,0.0,1.0,8.377011160816375,dlf the arbour,0,2.2512917986064953
2259,2 BHK Flat,Suncity Avenue 76,2,2,2,unavailable,unavailable,under construction,Sector 76 Gurgaon,0.75,808.5000000000001,9276.437847866418,0,0,0,0,1,0,11,-1.0,Unavailable,0.0,Minimal,0.0,1.0,6.69641677311769,suncity avenue ,0,0.5596157879354227
2260,4 BHK Flat,ILD Greens,4,4,2,unavailable,unavailable,unknown,Sector 37A Gurgaon,0.79,1941.5,4069.0187998969855,0,0,0,0,0,1,7,28.0,Medium,0.0,Minimal,0.0,1.0,7.5717310822418025,ild greens,0,0.5822156198526637
2261,3 BHK Flat,ATS Marigold,3,3,3,Others,unavailable,under construction,Sector 89 A Gurgaon,1.5,2500.0,6000.0,0,0,0,0,0,1,2,-1.0,Unavailable,13.5,Basic,0.0,1.0,7.824445930877619,ats marigold,1,0.9162907318741551
2262,4 BHK Flat,Godrej Summit37 ,4,5,3+,Servant Room,unavailable,newly built,Sector 104 Gurgaon,1.75,3320.0,5271.084337349397,0,0,0,1,0,0,1,34.5,Fancy,17.5,Basic,24.5,0.8,8.108021221376747,godrej summit,1,1.0116009116784799
2263,3 BHK Flat,Bestech Altura,3,4,3,unavailable,North-East,under construction,Sector 79 Gurgaon,1.9,2365.0,8033.826638477802,0,0,0,0,0,1,11,-1.0,Unavailable,23.0,Good,20.0,0.75,7.768956044538332,bestech altura,0,1.0647107369924282
2264,3 BHK Flat,Godrej Nature Plus Serenity,3,2,3,unavailable,South,under construction,Sector-33 Sohna,1.45,1838.1,7888.580599532125,0,0,0,0,1,0,3,-1.0,Unavailable,13.5,Basic,0.0,1.5,7.517031600504935,godrej nature plus serenity,0,0.8960880245566356
2265,3 BHK Flat,Conscient Elevate,3,3,1,unavailable,unavailable,under construction,Sector 59 Gurgaon,4.02,3278.571428571429,12261.437908496728,0,0,0,0,1,0,3,-1.0,Unavailable,11.5,Basic,0.0,1.0,8.095468030820259,conscient elevate,0,1.6134299337036377
2266,2 BHK Flat,Sare Crescent Parc Royal Greens Phase 1,2,2,3,unavailable,North-East,unknown,Sector 92 Gurgaon,0.5,1428.571428571429,3499.9999999999995,0,0,0,0,1,0,2,28.0,Medium,0.0,Minimal,20.0,1.0,7.265129978035143,sare crescent parc royal greens phase ,0,0.4054651081081644
