property_name,society,bedRoom,bathroom,balcony,additionalRoom,facing,agePossession,sector,price in crore,SuperBuildUp_adjusted_area,adjusted_price_per_sqft,Others,Pooja Room,Servant Room,Store Room,Study Room,unavailable,floor,furnish_score,furnish_category,features_score,features_category,rating_sum
2 BHK Flat,Godrej Air,2.0,2.0,3,unavailable,unavailable,under construction,Sector 85 Gurgaon,1.3,2000.0000000000002,6499.999999999999,0,0,0,0,0,1,30.0,-1.0,Unavailable,26.5,Good,19.5
2 BHK Flat,Pyramid Urban Homes 2,2.0,2.0,2,unavailable,unavailable,old,Sector 86 Gurgaon,0.5,735.7142857142858,6796.116504854368,0,0,1,0,0,0,6.0,-1.0,Unavailable,4.0,Minimal,19.0
2 BHK Flat,Breez Global Hill View,2.0,2.0,2,unavailable,unavailable,newly built,Sohna,0.35,940.0000000000001,3723.4042553191484,0,0,0,0,0,1,18.0,31.5,Fancy,4.5,Minimal,20.0
1 BHK Flat,HCBS Sports Ville36 ,1.0,1.0,1,unavailable,unavailable,new,Sohna,0.25,660.0,3787.878787878788,0,0,0,0,1,0,12.0,-1.0,Unavailable,9.5,Minimal,25.0
2 BHK Flat,Eden Landmark,2.0,2.0,No,unavailable,unavailable,under construction,Manesar,0.5,1430.0000000000002,3496.503496503496,1,0,0,0,0,0,7.0,-1.0,Unavailable,0.0,Minimal,18.5
1 BHK Flat,Pivotal Devaan,1.0,1.0,1,unavailable,North-East,new,Sector 84 Gurgaon,0.27,627.1428571428572,4305.239179954441,0,0,0,0,0,1,13.0,33.5,Fancy,8.5,Minimal,20.0
3 BHK Flat,CGHS Vidya Enclave39 ,3.0,2.0,3,Store Room,unavailable,old,Sector 56 Gurgaon,1.7,2285.714285714286,7437.5,0,0,0,0,0,1,6.0,28.0,Medium,24.0,Good,24.5
3 BHK Flat,Smart World Gems,3.0,2.0,3,Study Room,unavailable,under construction,Sector 89 Gurgaon,1.16,1213.3000000000002,9560.702217093874,0,0,0,0,0,1,1.0,-1.0,Unavailable,13.5,Basic,20.0
2 BHK Flat,M3M Woodshire40 ,2.0,2.0,3+,Others,unavailable,newly built,Sector 107 Gurgaon,1.01,1502.6000000000001,6721.682417143617,0,0,1,0,0,0,11.0,-1.0,Unavailable,18.0,Basic,24.0
5 BHK Flat,Vasant Apartment,5.0,5.0,2,"Study Room,Pooja Room,Store Room",East,old,"old delhi road, opp sector-14",1.75,3285.714285714286,5326.086956521739,0,0,1,0,0,0,3.0,50.0,Fancy,11.0,Basic,0.0
2 BHK Flat,Signature Global Solera 2,2.0,2.0,2,unavailable,unavailable,newly built,Sector 107 Gurgaon,0.5,800.0,6250.0,0,0,0,0,0,1,13.0,31.0,Fancy,3.0,Minimal,20.0
3 BHK Flat,Signature Global Park 4,3.0,2.0,3,unavailable,unavailable,newly built,Sector 36 Sohna,0.82,1544.2857142857144,5309.898242368176,0,0,0,0,1,0,2.0,-1.0,Unavailable,7.0,Minimal,0.0
3 BHK Flat,Orris Carnation Residency37 ,3.0,4.0,3,Servant Room,East,mid-age,Sector 85 Gurgaon,1.1,2350.0,4680.851063829788,1,0,0,0,0,0,6.0,35.5,Fancy,18.5,Basic,25.0
1 BHK Flat,IRWO Westend Towers39 ,1.0,1.0,2,unavailable,unavailable,old,Sector 47 Gurgaon,0.65,770.0,8441.558441558442,1,1,0,0,0,0,3.0,-1.0,Unavailable,12.5,Basic,25.0
2 BHK Flat,Smart World Orchard,2.0,2.0,2,Study Room,South,under construction,Sector 61 Gurgaon,1.58,1642.857142857143,9617.391304347826,0,0,0,0,0,1,3.0,28.0,Medium,5.0,Minimal,0.0
2 BHK Flat,AFNHB Jalvayu Vihar,2.0,2.0,1,Others,West,old,Sector 30 Gurgaon,0.85,944.2857142857143,9001.512859304084,1,0,0,0,0,0,2.0,36.0,Fancy,12.5,Basic,20.0
2 BHK Flat,Godrej 101 Sector 79,2.0,2.0,3,unavailable,East,unknown,Sector 79 Gurgaon,1.25,1521.3000000000002,8216.656806678498,0,0,0,0,0,1,1.0,28.0,Medium,0.0,Minimal,20.0
3 BHK Flat,Signature Global Park 4,3.0,2.0,3,unavailable,unavailable,under construction,Sector 36 Sohna,0.72,1189.1000000000001,6054.9995795139175,0,0,0,0,0,1,3.0,-1.0,Unavailable,0.0,Minimal,0.0
1 BHK Flat,Satya Element One,1.0,1.0,1,unavailable,unavailable,new,Sector 49 Gurgaon,0.87,642.8571428571429,13533.333333333332,0,0,0,0,0,1,2.0,28.0,Medium,7.5,Minimal,20.0
3 BHK Flat,Godrej Aria38 ,3.0,4.0,3+,Servant Room,East,newly built,Sector 79 Gurgaon,1.7,3270.0,5198.7767584097855,0,0,0,0,0,1,6.0,-1.0,Unavailable,22.0,Good,25.0
4 BHK Flat,Tulip Ivory35 ,4.0,4.0,3+,Servant Room,East,mid-age,Sector 70 Gurgaon,2.35,3428.571428571429,6854.166666666666,0,0,0,0,0,1,10.0,43.5,Fancy,19.5,Basic,22.0
3 BHK Flat,Breez Global Heights 88A,3.0,2.0,2,unavailable,unavailable,under construction,Sector 88A Gurgaon,0.5,852.8571428571429,5862.646566164154,0,0,0,0,0,1,2.0,-1.0,Unavailable,7.0,Minimal,0.0
2 BHK Flat,Godrej 10140 ,2.0,2.0,3,Study Room,unavailable,newly built,Sector 79 Gurgaon,1.41,2245.714285714286,6278.625954198473,0,0,0,0,1,0,3.0,-1.0,Unavailable,27.0,Good,24.5
3 BHK Flat,Signature Global City 92,3.0,2.0,3,Others,East,newly built,Sector 92 Gurgaon,0.99,2135.714285714286,4635.451505016722,0,0,0,0,0,1,1.0,36.0,Fancy,9.5,Minimal,20.0
4 BHK Flat,Tulip Violet42 ,4.0,5.0,3+,"Pooja Room,Others",unavailable,new,Sector 69 Gurgaon,3.25,3537.6000000000004,9187.019448213478,0,0,0,0,0,1,14.0,-1.0,Unavailable,7.0,Minimal,24.5
3 BHK Flat,Birla Navya,3.0,3.0,3,unavailable,unavailable,under construction,Sector 63A Gurgaon,3.5,1928.5714285714287,18148.148148148146,0,0,0,0,0,1,1.0,36.0,Fancy,12.5,Basic,20.0
4 BHK Flat,Parsvnath Green Ville39 ,4.0,5.0,3,Others,South-East,mid-age,Sector 48 Gurgaon,2.5,2785.714285714286,8974.358974358975,0,0,0,0,0,1,1.0,87.0,Fancy,13.5,Basic,24.0
2 BHK Flat,Pyramid Pride,2.0,2.0,1,unavailable,North,under construction,Sector 76 Gurgaon,0.5,1085.7142857142858,4605.263157894737,0,0,0,0,0,1,8.0,-1.0,Unavailable,20.0,Good,0.0
3 BHK Flat,Suposhaa Smartworld Orchard,3.0,3.0,2,unavailable,unavailable,under construction,Sector 61 Gurgaon,2.25,2212.857142857143,10167.850225952227,0,0,0,0,0,1,3.0,-1.0,Unavailable,0.0,Minimal,0.0
5 BHK Flat,Mittal Surya Vihar,5.0,4.0,2,unavailable,unavailable,mid-age,Sector 21 Gurgaon,1.4,2640.0,5303.030303030303,0,1,0,0,0,0,2.0,-1.0,Unavailable,0.0,Minimal,19.5
3 BHK Flat,Orris Carnation Residency37 ,3.0,3.0,2,unavailable,unavailable,new,Sector 85 Gurgaon,0.9,2121.4285714285716,4242.424242424242,0,0,0,0,0,1,12.0,32.5,Fancy,28.0,Good,25.0
